"Distance from Start (km)","Height Above Sea Level (m)","Comments"
0,549,""
0.09,550,""
0.18,549,""
0.27,551,""
0.36,552,""
0.45,552,""
0.54,551,"Start of longest uphill"
0.63,552,""
0.72,552,""
0.81,553,""
0.9,554,""
0.99,555,""
1.08,556,""
1.17,556,""
1.26,558,""
1.35,559,"Highest Point"
1.44,558,""
1.53,555,""
1.62,553,""
1.71,554,""
1.8,554,""
1.89,553,""
1.98,553,""
2.07,554,""
2.16,555,""
2.25,555,""
2.34,555,""
2.43,555,""
2.52,556,"Start of longest downhill"
2.61,553,""
2.7,552,""
2.79,552,""
2.88,550,""
2.97,550,""
3.06,550,""
3.15,549,""
3.24,550,""
3.33,549,""
3.42,548,"Lowest Point"
3.51,549,""
3.6,550,""
3.69,551,"Steepest uphill"
3.78,554,""
3.87,555,""
3.96,556,""
4.05,559,"Steepest downhill"
4.14,554,""
4.23,553,""
4.32,555,""
4.41,554,""
4.5,553,""
4.59,551,""
4.68,550,""
4.77,548,""
4.86,549,""
4.95,549,""
5.04,548,""